parkCode,fullName,Photography,Colonization_and_Settlement,Lighthouses,Schools_and_Education,Animals,Fish,Forests_and_Woodlands,Geology,Lakes,Mountains,Night_Sky,Astronomy,Rock_Landscapes_and_Features,Trails,Fossils_and_Paleontology,Scenic_Views,Unique_Species,Endangered,Wilderness,Ruins,Canyons_and_Canyonlands,Hot_Springs,River_and_Riparian,Ships_and_Shipwrecks,Explorers_and_Expeditions,Glaciers,Volcanoes,Waterfalls,Architecture_and_Building,Freshwater_Springs,Prop_JAN,Prop_FEB,Prop_MAR,Prop_APR,Prop_MAY,Prop_JUN,Prop_JUL,Prop_AUG,Prop_SEP,Prop_OCT,Prop_NOV,Prop_DEC,TotalVisitors2024
chis,Channel Islands NP,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0.06495138642933038,0.056698694878913554,0.08785479528221768,0.08409214680422422,0.08901634162410837,0.09970256796950275,0.12497476969011467,0.10046423770189009,0.07712286875288006,0.09023501319592811,0.06816944104866689,0.056717736622223236,262581
cong,Congaree NP,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0.05607955413986424,0.06960160959144636,0.1404343748579833,0.09661680073043062,0.13739779961908538,0.08282620461146296,0.06751525517560494,0.050167528062499744,0.05269181033592372,0.08804002495362509,0.09676966234109623,0.061859375580977406,242049
crla,Crater Lake NP,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0.009226802286203168,0.01050417671732595,0.014411556178729438,0.026026751587311017,0.06279137009795184,0.1313239936467951,0.303393261008195,0.1848588550764246,0.14983503055796507,0.08338185375746125,0.014334319585219689,0.00991202950041787,504942
cuva,Cuyahoga Valley NP,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.028947066631781995,0.03490492897055198,0.0734088847411839,0.09643929140168395,0.10698606741943392,0.12171591379640674,0.1373024260640683,0.10306875233050891,0.09266412448059265,0.10556252562272228,0.05389063655597651,0.04510938198508886,2912454
deva,Death Valley NP,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.05929604216360612,0.08602108735674954,0.11209843358204603,0.11484265010926883,0.0967077732206675,0.04847676197722432,0.06878104859200102,0.0764729077171284,0.07291091049952655,0.0899926691306533,0.08968443939675831,0.08471527625437006,1440484
dena,Denali NP & PRES,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0.004858148498478209,0.008210592694116814,0.020700216847158143,0.016054411263182956,0.07696679943461018,0.24925197382390982,0.21130050383182442,0.2839046215684634,0.10299489304566231,0.01373794310496818,0.005207763600134699,0.006812132287490858,466227
drto,Dry Tortugas NP,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0.09040566493466709,0.08374865976223299,0.09379897022610253,0.09654424846535412,0.10064449235917194,0.09808773108055566,0.09231439916109953,0.06085563135508348,0.06704134412592933,0.050522545450260976,0.0774922531311489,0.08854405994839348,84873
ever,Everglades NP,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0.08839151301310137,0.11307267147630067,0.12992211411851753,0.07925653283161474,0.059110518704606436,0.072379016769926,0.08887130837229425,0.07641010643100987,0.05082057136079937,0.05132866925522552,0.08119727810475443,0.1092396995618498,741983
gaar,Gates of the Arctic NP & PRES,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.030402284370538338,0.2617787855883094,0.3135130595448056,0.26816158562190306,0.1261442848744436,0,0,0,11907
jeff,Gateway Arch NP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.022852833262844454,0.034660240993940036,0.092101525837166,0.08172093270054606,0.08758230422168571,0.1180155533325114,0.20807303168254096,0.12566580779476968,0.06486953834725163,0.07064819597885645,0.048692340225637246,0.04511769562225035,2563052
glba,Glacier Bay NP & PRES,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,3.870799503451123e-4,3.028730839542458e-4,3.368274655634662e-4,5.636427347130583e-4,0.1736345584979668,0.20097326839444668,0.21847335667583886,0.2029018772698504,0.15073164901491548,0.051099986146612306,3.042312592186146e-4,2.9064950657492646e-4,736282
glac,Glacier NP,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0.004241520465102509,0.0051914215949799844,0.007502286712447663,0.014041583106220326,0.06530757256319039,0.17127858001000387,0.24673650683832202,0.2334226202997736,0.18771735455028507,0.05142742278547287,0.006907351916864952,0.006225779157336724,3208755
grca,Grand Canyon NP,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0.035747544856716475,0.03897431331305753,0.08172508209221772,0.09604621761872904,0.11212679880703283,0.10086472027863276,0.10948082021270691,0.10321044454107335,0.09593705270591765,0.09250394833429997,0.0680892257483641,0.06529383149125166,4919163
grte,Grand Teton NP,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0.014248852468233751,0.015484168278567299,0.017011638207364378,0.021168770819426155,0.0882820841723577,0.17853813796399448,0.21299688938548964,0.19340354586902345,0.15962060755929489,0.0746624655271921,0.013293012390090795,0.011289827358965356,3628222
grba,Great Basin NP,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009035431517479023,0.015361548780808585,0.020227792829523635,0.05071415419417629,0.10320382986558645,0.16520240944840467,0.15596969776678854,0.1563774101060052,0.166267722334745,0.12431280742825578,0.009042007522950259,0.024285188205276587,152068
grsa,Great Sand Dunes NP & PRES,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0.009226319000322168,0.01535434959934744,0.048418753327346964,0.0545376444325631,0.14532023643870484,0.19012888971144334,0.17318426818930632,0.13676110048644957,0.10134556197604995,0.08251591985577879,0.023561615039951012,0.0196453419427365,437661
gumo,Guadalupe Mountains NP,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.04672008632050023,0.07181582601466387,0.14770445841845986,0.14276490930156455,0.08759408138537328,0.056922001998814864,0.05794794237045292,0.03964463548161709,0.04315140580363855,0.09954274898953717,0.09421847223327762,0.1119734316821,226134
hale,Haleakala NP,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.08294048823376024,0.07367330305251905,0.09431558943147703,0.08113155771444018,0.08573784569344839,0.088379566866946,0.05191425805861481,0.085463434346744,0.08696928367716665,0.0911878461712791,0.08204762743403547,0.09623919931956908,732477
havo,Hawaii Volcanoes NP,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.09529901443436177,0.09215446783013032,0.0792575019548784,0.06919606889821588,0.06788398101832249,0.08643736402172722,0.08904131088809725,0.088980624207847,0.0681044062017602,0.06879288612597857,0.07666053056899692,0.11819184384968398,1433593
hosp,Hot Springs NP,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0.05914058425257493,0.09360747286957737,0.12160189323961375,0.11452174252136231,0.04535399128771815,0.14738249712000753,0.11379585443567583,0.10684040860959326,0.05461140005816854,0.04202067420257924,0.04735983088879248,0.0537636505143366,2461812
indu,Indiana Dunes NP,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.022780125306399616,0.0341396912401223,0.04544898379385844,0.06244693108739473,0.10708340834294135,0.16890229183771013,0.1646061357920959,0.15339738999833286,0.08892880365250892,0.0762547366950206,0.04285916541014022,0.03315233684347494,2705209
isro,Isle Royale NP,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.002881344164410192,0.05863361799625078,0.19992362702214816,0.29955564812886204,0.3101090050683885,0.11875998055960564,0.010136777060334652,0,0,28806
jotr,Joshua Tree NP,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0.08411584177675932,0.09478407178911946,0.13415605068930042,0.1149132617215832,0.08683621034843045,0.057357361974468175,0.041374068560373865,0.04781250814706769,0.052608833125993945,0.07089102014322796,0.10082409887582164,0.11432667284785389,2991874
katm,Katmai NP & PRES,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0.003201766491857577,0.11131658846260005,0.3987579354126415,0.30872205354678445,0.16831355230471984,0.009688103781396633,0,0,36230
